2019-11-28 00:10:15.329 +01:00 [INF] Starting up the service.
2019-11-28 00:12:50.125 +01:00 [INF] Worker running at: "2019-11-28T00:12:50.1253744+01:00" 1000
2019-11-28 00:12:51.126 +01:00 [INF] Worker running at: "2019-11-28T00:12:51.1261158+01:00" 1000
2019-11-28 00:12:52.126 +01:00 [INF] Worker running at: "2019-11-28T00:12:52.1267272+01:00" 1000
2019-11-28 00:12:53.127 +01:00 [INF] Worker running at: "2019-11-28T00:12:53.1274242+01:00" 1000
2019-11-28 00:12:54.128 +01:00 [INF] Worker running at: "2019-11-28T00:12:54.1278687+01:00" 1000
2019-11-28 00:12:55.128 +01:00 [INF] Worker running at: "2019-11-28T00:12:55.1287367+01:00" 1000
2019-11-28 00:12:56.129 +01:00 [INF] Worker running at: "2019-11-28T00:12:56.1298817+01:00" 1000
2019-11-28 00:12:57.131 +01:00 [INF] Worker running at: "2019-11-28T00:12:57.1310651+01:00" 1000
2019-11-28 00:12:58.131 +01:00 [INF] Worker running at: "2019-11-28T00:12:58.1318928+01:00" 1000
2019-11-28 00:12:59.133 +01:00 [INF] Worker running at: "2019-11-28T00:12:59.1330719+01:00" 1000
2019-11-28 00:13:00.133 +01:00 [INF] Worker running at: "2019-11-28T00:13:00.1338403+01:00" 1000
2019-11-28 00:13:01.134 +01:00 [INF] Worker running at: "2019-11-28T00:13:01.1345764+01:00" 1000
2019-11-28 00:13:02.135 +01:00 [INF] Worker running at: "2019-11-28T00:13:02.1357564+01:00" 1000
2019-11-28 00:13:03.136 +01:00 [INF] Worker running at: "2019-11-28T00:13:03.1363798+01:00" 1000
2019-11-28 00:13:04.136 +01:00 [INF] Worker running at: "2019-11-28T00:13:04.1369385+01:00" 1000
2019-11-28 00:13:05.137 +01:00 [INF] Worker running at: "2019-11-28T00:13:05.1374267+01:00" 1000
2019-11-28 00:13:06.138 +01:00 [INF] Worker running at: "2019-11-28T00:13:06.1381913+01:00" 1000
2019-11-28 00:13:07.138 +01:00 [INF] Worker running at: "2019-11-28T00:13:07.1386341+01:00" 1000
2019-11-28 00:13:08.140 +01:00 [INF] Worker running at: "2019-11-28T00:13:08.1397867+01:00" 1000
2019-11-28 00:13:09.141 +01:00 [INF] Worker running at: "2019-11-28T00:13:09.1411187+01:00" 1000
2019-11-28 00:13:10.141 +01:00 [INF] Worker running at: "2019-11-28T00:13:10.1414816+01:00" 1000
2019-11-28 00:13:11.142 +01:00 [INF] Worker running at: "2019-11-28T00:13:11.1421189+01:00" 1000
2019-11-28 00:13:12.143 +01:00 [INF] Worker running at: "2019-11-28T00:13:12.1431102+01:00" 1000
2019-11-28 00:13:13.144 +01:00 [INF] Worker running at: "2019-11-28T00:13:13.1443250+01:00" 1000
2019-11-28 00:13:14.145 +01:00 [INF] Worker running at: "2019-11-28T00:13:14.1450493+01:00" 1000
2019-11-28 00:13:15.145 +01:00 [INF] Worker running at: "2019-11-28T00:13:15.1455771+01:00" 1000
2019-11-28 00:13:16.146 +01:00 [INF] Worker running at: "2019-11-28T00:13:16.1462327+01:00" 1000
2019-11-28 00:13:17.147 +01:00 [INF] Worker running at: "2019-11-28T00:13:17.1470850+01:00" 1000
2019-11-28 00:13:18.147 +01:00 [INF] Worker running at: "2019-11-28T00:13:18.1476323+01:00" 1000
2019-11-28 00:13:19.148 +01:00 [INF] Worker running at: "2019-11-28T00:13:19.1482091+01:00" 1000
2019-11-28 00:13:20.149 +01:00 [INF] Worker running at: "2019-11-28T00:13:20.1491791+01:00" 1000
2019-11-28 00:13:21.150 +01:00 [INF] Worker running at: "2019-11-28T00:13:21.1501540+01:00" 1000
2019-11-28 00:13:22.150 +01:00 [INF] Worker running at: "2019-11-28T00:13:22.1508158+01:00" 1000
2019-11-28 00:13:23.152 +01:00 [INF] Worker running at: "2019-11-28T00:13:23.1519909+01:00" 1000
2019-11-28 00:13:24.152 +01:00 [INF] Worker running at: "2019-11-28T00:13:24.1524010+01:00" 1000
2019-11-28 00:13:25.153 +01:00 [INF] Worker running at: "2019-11-28T00:13:25.1532736+01:00" 1000
2019-11-28 00:13:26.153 +01:00 [INF] Worker running at: "2019-11-28T00:13:26.1537473+01:00" 1000
2019-11-28 00:13:27.154 +01:00 [INF] Worker running at: "2019-11-28T00:13:27.1546005+01:00" 1000
2019-11-28 00:13:28.155 +01:00 [INF] Worker running at: "2019-11-28T00:13:28.1557392+01:00" 1000
2019-11-28 00:13:29.156 +01:00 [INF] Worker running at: "2019-11-28T00:13:29.1563098+01:00" 1000
2019-11-28 00:13:30.156 +01:00 [INF] Worker running at: "2019-11-28T00:13:30.1568157+01:00" 1000
2019-11-28 00:13:31.158 +01:00 [INF] Worker running at: "2019-11-28T00:13:31.1579797+01:00" 1000
2019-11-28 00:13:32.159 +01:00 [INF] Worker running at: "2019-11-28T00:13:32.1590688+01:00" 1000
2019-11-28 00:13:33.159 +01:00 [INF] Worker running at: "2019-11-28T00:13:33.1593997+01:00" 1000
2019-11-28 00:13:34.159 +01:00 [INF] Worker running at: "2019-11-28T00:13:34.1599523+01:00" 1000
2019-11-28 00:13:35.160 +01:00 [INF] Worker running at: "2019-11-28T00:13:35.1606068+01:00" 1000
2019-11-28 00:13:36.161 +01:00 [INF] Worker running at: "2019-11-28T00:13:36.1615826+01:00" 1000
2019-11-28 00:13:37.162 +01:00 [INF] Worker running at: "2019-11-28T00:13:37.1626056+01:00" 1000
2019-11-28 00:13:38.163 +01:00 [INF] Worker running at: "2019-11-28T00:13:38.1636097+01:00" 1000
2019-11-28 00:13:39.164 +01:00 [INF] Worker running at: "2019-11-28T00:13:39.1641644+01:00" 1000
2019-11-28 00:13:40.164 +01:00 [INF] Worker running at: "2019-11-28T00:13:40.1645318+01:00" 1000
2019-11-28 00:13:41.164 +01:00 [INF] Worker running at: "2019-11-28T00:13:41.1649509+01:00" 1000
2019-11-28 00:13:42.165 +01:00 [INF] Worker running at: "2019-11-28T00:13:42.1655394+01:00" 1000
2019-11-28 00:13:43.166 +01:00 [INF] Worker running at: "2019-11-28T00:13:43.1666899+01:00" 1000
2019-11-28 00:13:44.167 +01:00 [INF] Worker running at: "2019-11-28T00:13:44.1673327+01:00" 1000
2019-11-28 00:13:45.167 +01:00 [INF] Worker running at: "2019-11-28T00:13:45.1677547+01:00" 1000
2019-11-28 00:13:46.168 +01:00 [INF] Worker running at: "2019-11-28T00:13:46.1680312+01:00" 1000
2019-11-28 00:13:47.168 +01:00 [INF] Worker running at: "2019-11-28T00:13:47.1689188+01:00" 1000
2019-11-28 00:13:48.169 +01:00 [INF] Worker running at: "2019-11-28T00:13:48.1695084+01:00" 1000
2019-11-28 00:13:49.170 +01:00 [INF] Worker running at: "2019-11-28T00:13:49.1701318+01:00" 1000
2019-11-28 00:13:50.170 +01:00 [INF] Worker running at: "2019-11-28T00:13:50.1709057+01:00" 1000
2019-11-28 00:13:51.171 +01:00 [INF] Worker running at: "2019-11-28T00:13:51.1713560+01:00" 1000
2019-11-28 00:13:52.172 +01:00 [INF] Worker running at: "2019-11-28T00:13:52.1724278+01:00" 1000
2019-11-28 00:13:53.173 +01:00 [INF] Worker running at: "2019-11-28T00:13:53.1731672+01:00" 1000
2019-11-28 00:13:54.174 +01:00 [INF] Worker running at: "2019-11-28T00:13:54.1743389+01:00" 1000
2019-11-28 00:13:55.174 +01:00 [INF] Worker running at: "2019-11-28T00:13:55.1749783+01:00" 1000
2019-11-28 00:13:56.176 +01:00 [INF] Worker running at: "2019-11-28T00:13:56.1760742+01:00" 1000
2019-11-28 00:13:57.177 +01:00 [INF] Worker running at: "2019-11-28T00:13:57.1773867+01:00" 1000
2019-11-28 00:13:58.178 +01:00 [INF] Worker running at: "2019-11-28T00:13:58.1784914+01:00" 1000
2019-11-28 00:13:59.178 +01:00 [INF] Worker running at: "2019-11-28T00:13:59.1788138+01:00" 1000
2019-11-28 00:14:00.179 +01:00 [INF] Worker running at: "2019-11-28T00:14:00.1798925+01:00" 1000
2019-11-28 00:14:01.181 +01:00 [INF] Worker running at: "2019-11-28T00:14:01.1812893+01:00" 1000
2019-11-28 00:14:02.181 +01:00 [INF] Worker running at: "2019-11-28T00:14:02.1818805+01:00" 1000
2019-11-28 00:14:03.182 +01:00 [INF] Worker running at: "2019-11-28T00:14:03.1828915+01:00" 1000
2019-11-28 00:14:04.184 +01:00 [INF] Worker running at: "2019-11-28T00:14:04.1841714+01:00" 1000
2019-11-28 00:14:05.185 +01:00 [INF] Worker running at: "2019-11-28T00:14:05.1852374+01:00" 1000
2019-11-28 00:14:06.185 +01:00 [INF] Worker running at: "2019-11-28T00:14:06.1859382+01:00" 1000
2019-11-28 00:14:07.186 +01:00 [INF] Worker running at: "2019-11-28T00:14:07.1864364+01:00" 1000
2019-11-28 00:14:08.187 +01:00 [INF] Worker running at: "2019-11-28T00:14:08.1870254+01:00" 1000
2019-11-28 00:14:09.188 +01:00 [INF] Worker running at: "2019-11-28T00:14:09.1880289+01:00" 1000
2019-11-28 00:14:10.189 +01:00 [INF] Worker running at: "2019-11-28T00:14:10.1891562+01:00" 1000
2019-11-28 00:14:11.191 +01:00 [INF] Worker running at: "2019-11-28T00:14:11.1910097+01:00" 1000
2019-11-28 00:14:12.191 +01:00 [INF] Worker running at: "2019-11-28T00:14:12.1919487+01:00" 1000
2019-11-28 00:14:13.192 +01:00 [INF] Worker running at: "2019-11-28T00:14:13.1928401+01:00" 1000
2019-11-28 00:14:14.193 +01:00 [INF] Worker running at: "2019-11-28T00:14:14.1932299+01:00" 1000
2019-11-28 00:14:15.193 +01:00 [INF] Worker running at: "2019-11-28T00:14:15.1939104+01:00" 1000
2019-11-28 00:14:16.194 +01:00 [INF] Worker running at: "2019-11-28T00:14:16.1949524+01:00" 1000
2019-11-28 00:14:17.195 +01:00 [INF] Worker running at: "2019-11-28T00:14:17.1956405+01:00" 1000
2019-11-28 00:14:18.197 +01:00 [INF] Worker running at: "2019-11-28T00:14:18.1969924+01:00" 1000
2019-11-28 00:14:19.198 +01:00 [INF] Worker running at: "2019-11-28T00:14:19.1980809+01:00" 1000
2019-11-28 00:14:20.198 +01:00 [INF] Worker running at: "2019-11-28T00:14:20.1987723+01:00" 1000
2019-11-28 00:14:21.199 +01:00 [INF] Worker running at: "2019-11-28T00:14:21.1994208+01:00" 1000
2019-11-28 00:14:22.200 +01:00 [INF] Worker running at: "2019-11-28T00:14:22.2006229+01:00" 1000
